OSM-Key,Name,Stadt,Adresse,PLZ,Latitude,Longitude,Radius_m,Quelle,Gebaeudequelle
osm-node-5537342824,HENKs kuechen.bar,Braunschweig,Heinrich-Büssing-Ring 13,38102,52.2517612,10.5332342,3.6,https://www.openstreetmap.org/node/5537342824,https://www.openstreetmap.org/way/317406916
osm-node-2214553098,Altdeutsche Bierstube,Wolfsburg,Schillerstraße 30,38440,52.421575246399996,10.785124135,3.0,https://www.openstreetmap.org/node/2214553098,https://www.openstreetmap.org/way/152462291
osm-node-937469235,Brechts Pizza & Vino,Hannover,Stolzestraße 40,30171,52.365887,9.7583588,2.1,https://www.openstreetmap.org/node/937469235,https://www.openstreetmap.org/way/176209354
osm-node-5336929697,The Wild Geese Irish Pub,Hildesheim,Osterstraße 16,31134,52.1549276,9.9547306,2.2,https://www.openstreetmap.org/node/5336929697,https://www.openstreetmap.org/way/197704720
osm-node-3378187506,The King's Head,Wolfenbüttel,Kommißstraße 10,38300,52.1615893048,10.5348393925,2.3,https://www.openstreetmap.org/node/3378187506,https://www.openstreetmap.org/way/394372543
osm-node-9817145717,Club11a,Celle,Bahnhofstraße 11a,29221,52.62148853899999,10.071702726949999,2.0,https://www.openstreetmap.org/node/9817145717,https://www.openstreetmap.org/way/152238969
osm-node-879355212,Celtic Inn,Goslar,Bahnhofsplatz 1,38640,51.91100082885,10.42238348075,7.6,https://www.openstreetmap.org/node/879355212,https://www.openstreetmap.org/way/74398387
osm-node-260432003,Lohen Schänke,Helmstedt,Sportplatzstraße 6,38350,52.2428615716,10.963052626200001,2.1,https://www.openstreetmap.org/node/260432003,https://www.openstreetmap.org/way/232421069
osm-node-1556075712,Tanzlokal bei Micha,Gifhorn,Sonnenweg 30,38518,52.468232705000005,10.549824178,6.5,https://www.openstreetmap.org/node/1556075712,https://www.openstreetmap.org/way/336371131
osm-node-468509481,Zum Landsknecht,Königslutter am Elm,Gänsemarkt 6,38154,52.249636550000005,10.817487400000001,3.8,https://www.openstreetmap.org/node/468509481,https://www.openstreetmap.org/way/370683305
osm-node-2348133225,Bürgerstuben,Lehrte,Peiner Heerstraße 39,31275,52.4016148475,9.975325316000001,2.2,https://www.openstreetmap.org/node/2348133225,https://www.openstreetmap.org/way/243827322
osm-node-4059999390,Shamrock Irish Pub,Braunschweig,Bohlweg 47,38100,52.2666525,10.5257173,4.6,https://www.openstreetmap.org/node/4059999390,https://www.openstreetmap.org/way/198644559
osm-node-1133646440,Taverne bei Savvas,Wolfsburg,Sachsenring 76,38440,52.4106278,10.750369599999999,3.0,https://www.openstreetmap.org/node/1133646440,https://www.openstreetmap.org/way/97703353
osm-node-125358932,Clubgaststätte TC Bischofshol,Hannover,Eintrachtweg 14,30173,52.3649304,9.7780525,5.7,https://www.openstreetmap.org/node/125358932,https://www.openstreetmap.org/way/98738765
osm-node-1986830052,Heidelberg,Hildesheim,Neustädter Markt 3-4,31134,52.148334229999996,9.954631413549999,2.7,https://www.openstreetmap.org/node/1986830052,https://www.openstreetmap.org/way/536039416
osm-node-5552086754,Deluxe Bar,Wolfenbüttel,Am Herzogtore 1,38300,52.164648597399996,10.5403161107,3.8,https://www.openstreetmap.org/node/5552086754,https://www.openstreetmap.org/way/392611806
osm-node-627830665,Klein Hehlen-Eck,Celle,Bremer Weg 134,29223,52.6334736,10.06258215,4.2,https://www.openstreetmap.org/node/627830665,https://www.openstreetmap.org/way/310512282
osm-node-867552184,Das Kö,Goslar,Marktstraße 30,38640,51.905782417,10.423799834149998,2.9,https://www.openstreetmap.org/node/867552184,https://www.openstreetmap.org/way/555646036
osm-node-3387495493,Zum Hausmannsturm,Helmstedt,Juliusstraße 6,38350,52.2271925,11.00512195,2.0,https://www.openstreetmap.org/node/3387495493,https://www.openstreetmap.org/way/141873456
osm-node-6761280647,Unikat,Gifhorn,Schillerplatz 5,38518,52.482262266250004,10.5449114519,4.5,https://www.openstreetmap.org/node/6761280647,https://www.openstreetmap.org/way/169064405
osm-node-304087874,Gasthof zur Linde,Königslutter am Elm,Uhraustraße 23,38154,52.297731931,10.8533975671,2.5,https://www.openstreetmap.org/node/304087874,https://www.openstreetmap.org/way/179342017
osm-node-12020055654,Crazy Bar,Lehrte,Burgdorfer Straße 17,31275,52.3774971399,9.9758519098,2.1,https://www.openstreetmap.org/node/12020055654,https://www.openstreetmap.org/way/1475556978
osm-node-7004205287,Spunk-Café e.V.,Braunschweig,Am Füllerkamp 74,38122,52.2370057,10.5100894,2.4,https://www.openstreetmap.org/node/7004205287,https://www.openstreetmap.org/way/171856036
osm-node-271047460,Pestalozzi-Klause,Hannover,Pestalozzistraße 12,30451,52.3740639,9.7024172,3.2,https://www.openstreetmap.org/node/271047460,https://www.openstreetmap.org/way/174816964
osm-node-10713674215,Sorgenfrei.BAR,Hildesheim,Dammstraße 16,31134,52.1499748805,9.943200767,2.0,https://www.openstreetmap.org/node/10713674215,https://www.openstreetmap.org/way/211510956
osm-node-9730993538,Schloß-Schänke,Wolfenbüttel,Schloßplatz 17,38304,52.162154832,10.53166935,2.2,https://www.openstreetmap.org/node/9730993538,https://www.openstreetmap.org/way/491946361
osm-node-2606719293,monkeys,Celle,Schuhstraße 25,29221,52.625657978,10.0846368868,3.1,https://www.openstreetmap.org/node/2606719293,https://www.openstreetmap.org/way/126629655
osm-way-452654895,Tannhof,Goslar,Hauptstraße 48,38690,51.9807954438,10.555514964999999,4.9,https://www.openstreetmap.org/way/452654895,https://www.openstreetmap.org/way/452654895
osm-way-191213717,Zum Schützen-Wiese,Gifhorn,Celler Straße 30,38518,52.487044438999995,10.534661605750001,2.9,https://www.openstreetmap.org/way/191213717,https://www.openstreetmap.org/way/191213717
osm-node-3593342939,Havanna Bar,Königslutter am Elm,Marktstraße 5,38154,52.25047994845001,10.818371599450002,6.8,https://www.openstreetmap.org/node/3593342939,https://www.openstreetmap.org/way/370617222
osm-node-302848018,5kW,Braunschweig,Magnitorwall 18,38100,52.26495,10.530969,2.0,https://www.openstreetmap.org/node/302848018,https://www.openstreetmap.org/way/23095967
osm-node-670243157,Plan C,Hannover,Nollendorfstraße 1,30163,52.3919541,9.7360115,2.5,https://www.openstreetmap.org/node/670243157,https://www.openstreetmap.org/way/1158113208
osm-node-5180191846,Havana Coffee Dreams,Hildesheim,Steuerwalder Straße 29,31137,52.161757053749994,9.946812241,2.6,https://www.openstreetmap.org/node/5180191846,https://www.openstreetmap.org/way/534052953
osm-node-546190642,Shisha Alscham,Wolfenbüttel,Halchtersche Straße 2a,38304,52.156940286600005,10.532515776899999,2.6,https://www.openstreetmap.org/node/546190642,https://www.openstreetmap.org/way/564453080
osm-node-1775343346,Zum Karnickel,Goslar,Kaninchengasse 3,38640,51.905415409999996,10.430853431800001,3.6,https://www.openstreetmap.org/node/1775343346,https://www.openstreetmap.org/way/337170167
osm-node-3585798293,A lo Cubano,Braunschweig,Helmstedter Straße 29,38102,52.259898620799994,10.54290533655,3.0,https://www.openstreetmap.org/node/3585798293,https://www.openstreetmap.org/way/173719506
osm-node-350307982,Prost,Hannover,Rundestraße 16,30161,52.3778006,9.7429819,9.0,https://www.openstreetmap.org/node/350307982,https://www.openstreetmap.org/way/28963458
osm-node-10754427652,Huckebein - trinken und mehr,Hildesheim,Einumer Straße 93,31135,52.15472186,9.959600193,3.0,https://www.openstreetmap.org/node/10754427652,https://www.openstreetmap.org/way/227075781
osm-node-288293344,Stadt-Keller,Wolfenbüttel,Kanzleistraße 20,38300,52.163113208,10.535195846799999,3.0,https://www.openstreetmap.org/node/288293344,https://www.openstreetmap.org/way/392725718
osm-way-310879873,Zum KranTor,Goslar,Hirschberger Straße 2,38642,51.9251606278,10.4320367248,2.4,https://www.openstreetmap.org/way/310879873,https://www.openstreetmap.org/way/310879873
osm-node-267886711,Charlys Tiger,Braunschweig,Wilhelm-Bode-Straße 26,38106,52.27339895954999,10.54336505655,4.2,https://www.openstreetmap.org/node/267886711,https://www.openstreetmap.org/way/37419081
osm-node-274098797,Vereinsgaststätte TuS Kleefeld,Hannover,Kleestraße 50,30625,52.3830492,9.7905671,4.5,https://www.openstreetmap.org/node/274098797,https://www.openstreetmap.org/way/303804079
osm-node-677909300,Wirtshaus im Kniep,Hildesheim,Marktstraße 4,31134,52.153100800000004,9.9509729,2.6,https://www.openstreetmap.org/node/677909300,https://www.openstreetmap.org/way/227364920
osm-node-9705536325,Vegas Sportsbar,Wolfenbüttel,Hellerstraße 12,38304,52.164916321499994,10.52204351895,2.9,https://www.openstreetmap.org/node/9705536325,https://www.openstreetmap.org/way/510846478
osm-node-3577495711,Treuer Husar,Braunschweig,Husarenstraße 63,38102,52.2666250395,10.5439604457,3.7,https://www.openstreetmap.org/node/3577495711,https://www.openstreetmap.org/way/44523182
osm-node-8936391709,After 5,Hannover,Lister Meile 5,30161,52.38006277695,9.743823784699998,2.7,https://www.openstreetmap.org/node/8936391709,https://www.openstreetmap.org/way/596072089
osm-node-2452412354,Wohnzimmer,Hildesheim,Kaiserstraße 41,31134,52.15731297825,9.9552140287,3.7,https://www.openstreetmap.org/node/2452412354,https://www.openstreetmap.org/way/205392480
osm-node-535435722,Wolters Bierstube,Wolfenbüttel,Kornmarkt 11,38300,52.161754304,10.53602714015,2.9,https://www.openstreetmap.org/node/535435722,https://www.openstreetmap.org/way/394372546
osm-node-3217010297,Zum Kuckuck,Braunschweig,Böcklerstraße 238,38102,52.2538880976,10.53106355,2.3,https://www.openstreetmap.org/node/3217010297,https://www.openstreetmap.org/way/144047385
osm-node-683773658,Asia Cuisine,Hannover,Beekestraße 113,30459,52.34461743599999,9.731424038,3.6,https://www.openstreetmap.org/node/683773658,https://www.openstreetmap.org/way/100128694
osm-node-1945773751,Wunder-Bar,Hildesheim,Küsthardtstraße 4,31134,52.14927899960001,9.953918846050001,3.0,https://www.openstreetmap.org/node/1945773751,https://www.openstreetmap.org/way/201819106
osm-node-4632144789,Harry's Bierhaus,Braunschweig,Ekbertstraße 14a,38122,52.2520313706,10.514073549999999,2.2,https://www.openstreetmap.org/node/4632144789,https://www.openstreetmap.org/way/49176392
osm-node-2118561655,Bar Romantis,Hannover,Lavesstraße 64,30159,52.37302883265001,9.750274405,2.2,https://www.openstreetmap.org/node/2118561655,https://www.openstreetmap.org/way/635034069
osm-way-43406149,S.V. Olympia 92 Sporthein Südkurve,Braunschweig,Bienroder Weg 72,38106,52.2913763575,10.540274329999999,3.5,https://www.openstreetmap.org/way/43406149,https://www.openstreetmap.org/way/43406149
osm-node-261570165,Café Safran,Hannover,Königsworther Straße 39,30167,52.37407851165,9.719092271400001,2.7,https://www.openstreetmap.org/node/261570165,https://www.openstreetmap.org/way/186627943
osm-way-32472686,Schützenhaus Schützenverein Sandwüste 1959 e.V.,Braunschweig,Fridtjof-Nansen-Straße 29A,38108,52.310855042099995,10.532843036349998,3.6,https://www.openstreetmap.org/way/32472686,https://www.openstreetmap.org/way/32472686
osm-node-11065473440,Centrum,Hannover,Lindener Marktplatz 3,30449,52.36723552515001,9.714143739250002,2.5,https://www.openstreetmap.org/node/11065473440,https://www.openstreetmap.org/way/229832028
osm-way-33677966,Sportheim SV Kralenriede 1922 e.V.,Braunschweig,Fridtjof-Nansen-Straße 29,38108,52.3104285,10.531509549999999,2.5,https://www.openstreetmap.org/way/33677966,https://www.openstreetmap.org/way/33677966
osm-node-271047484,Debakel,Hannover,Limmerstraße 92,30451,52.375227240399994,9.70222399375,2.3,https://www.openstreetmap.org/node/271047484,https://www.openstreetmap.org/way/716026638
osm-way-114657094,Sportheim VfL Bienrode,Braunschweig,Pappelallee 7,38110,52.319474617400004,10.53429793195,2.5,https://www.openstreetmap.org/way/114657094,https://www.openstreetmap.org/way/114657094
osm-node-5274386424,Destille,Hannover,Im Moore 3,30167,52.3824704738,9.721660911250002,2.4,https://www.openstreetmap.org/node/5274386424,https://www.openstreetmap.org/way/117389732
osm-node-3217010298,Ulli's Eck,Braunschweig,Böcklerstraße 9,38102,52.2540617792,10.5314576784,2.3,https://www.openstreetmap.org/node/3217010298,https://www.openstreetmap.org/way/146901525
osm-node-3523086292,Feiters WeinZeit,Hannover,Lichtenbergplatz 1,30449,52.368578064649995,9.712821912,4.0,https://www.openstreetmap.org/node/3523086292,https://www.openstreetmap.org/way/169960935
osm-node-1931499580,Warschau Bar,Braunschweig,Ernst-Amme-Straße 29,38114,52.27244966780001,10.50478756475,2.5,https://www.openstreetmap.org/node/1931499580,https://www.openstreetmap.org/way/123266770
osm-node-289499099,Fiedel,Hannover,Jakobistraße 51,30163,52.3913998122,9.7403779668,3.9,https://www.openstreetmap.org/node/289499099,https://www.openstreetmap.org/way/1156952160
osm-node-283331612,Grotte,Hannover,Große Pfahlstraße 14,30161,52.382984706500004,9.749439457400001,2.4,https://www.openstreetmap.org/node/283331612,https://www.openstreetmap.org/way/186493985
osm-node-289499096,Hamburger Botschaft,Hannover,Egestorffstraße 5,30449,52.366831004699996,9.7122837376,3.2,https://www.openstreetmap.org/node/289499096,https://www.openstreetmap.org/way/237305773
osm-node-268808490,Izarro,Hannover,Ahlemer Straße 5,30451,52.37267964459999,9.706621784,2.2,https://www.openstreetmap.org/node/268808490,https://www.openstreetmap.org/way/175139681
osm-node-10025340618,Jazz Club Hannover,Hannover,Am Lindener Berge 38,30449,52.36295062325,9.705268712150001,4.2,https://www.openstreetmap.org/node/10025340618,https://www.openstreetmap.org/way/187019345
osm-node-4783026158,Kanapee,Hannover,Edenstraße 1,30161,52.3857782516,9.745315913199999,2.2,https://www.openstreetmap.org/node/4783026158,https://www.openstreetmap.org/way/186459357
osm-node-253165451,Kuriosum,Hannover,Schneiderberg 14,30167,52.388746188,9.716636630300002,2.1,https://www.openstreetmap.org/node/253165451,https://www.openstreetmap.org/way/122920715
osm-node-265831056,Peanuts,Hannover,Voßstraße 20,30161,52.38818634075,9.740660847300001,2.6,https://www.openstreetmap.org/node/265831056,https://www.openstreetmap.org/way/711952826
osm-node-12098386954,Rebe - Wein und Brot,Hannover,Rehbergstraße 1,30173,52.360127293199994,9.756340427400001,4.0,https://www.openstreetmap.org/node/12098386954,https://www.openstreetmap.org/way/961023909
osm-node-339136011,Santana,Hannover,Rehbockstraße 38,30167,52.38640176,9.71709209,2.4,https://www.openstreetmap.org/node/339136011,https://www.openstreetmap.org/way/117103640
