OSM-Key,Name,Stadt,Adresse,PLZ,Latitude,Longitude,Radius_m,Quelle,Gebaeudequelle
osm-node-10728221424,Hans im Glück,Braunschweig,Bohlweg 19,38100,52.263771055700005,10.526049480000001,3.3,https://www.openstreetmap.org/node/10728221424,https://www.openstreetmap.org/way/116132643
osm-way-233744031,Hasenwinkel Stuben,Wolfsburg,Neue Straße 52,38444,52.353157687300005,10.7693198672,3.1,https://www.openstreetmap.org/way/233744031,https://www.openstreetmap.org/way/233744031
osm-node-3782285156,Eiscafe Gondola,Peine,Schützenstraße 1,31224,52.3203524309,10.230442669350001,3.5,https://www.openstreetmap.org/node/3782285156,https://www.openstreetmap.org/way/374848526
osm-node-5894420290,Atrium,Hannover,Karmarschstraße 42,30159,52.3712353,9.7360212,13.3,https://www.openstreetmap.org/node/5894420290,https://www.openstreetmap.org/way/5121356
osm-node-3782401686,Qvevri,Hildesheim,Scheelenstraße 21,31134,52.1514533,9.9519578,2.0,https://www.openstreetmap.org/node/3782401686,https://www.openstreetmap.org/way/197704761
osm-node-535435693,China Restaurant Wan Bao,Wolfenbüttel,Kommißstraße 9a,38300,52.16128334,10.5348058444,3.9,https://www.openstreetmap.org/node/535435693,https://www.openstreetmap.org/way/394372631
osm-node-501928353,Familienbibliothek,Celle,Rundestraße 14,29221,52.6236743825,10.0817064127,3.3,https://www.openstreetmap.org/node/501928353,https://www.openstreetmap.org/way/126270808
osm-node-11683825312,Brauhaus Goslar,Goslar,Marktkirchhof 2,38640,51.905272698199994,10.42817515665,4.2,https://www.openstreetmap.org/node/11683825312,https://www.openstreetmap.org/way/135963088
osm-node-2136360548,Chili,Gifhorn,Braunschweiger Straße 5,38518,52.481341390000004,10.5448104565,4.1,https://www.openstreetmap.org/node/2136360548,https://www.openstreetmap.org/way/169064380
osm-node-1971814563,China Imbiss Shanghai,Lehrte,Burgdorfer Straße 15,31275,52.3773204,9.9755465,2.5,https://www.openstreetmap.org/node/1971814563,https://www.openstreetmap.org/way/1475556985
osm-way-56060598,Panoramic Veranstaltungshaus und Restaurant,Braunschweig,Borsigstraße 3,38126,52.24560260155,10.545132085,7.9,https://www.openstreetmap.org/way/56060598,https://www.openstreetmap.org/way/56060598
osm-way-375434927,Hotel Restaurant Conni,Wolfsburg,Neuhäuser Straße 19,38448,52.43126060000001,10.848484981599999,3.9,https://www.openstreetmap.org/way/375434927,https://www.openstreetmap.org/way/375434927
osm-node-3862834857,Café Anna Leine,Hannover,Am Hohen Ufer 3,30159,52.372612,9.7308621,2.1,https://www.openstreetmap.org/node/3862834857,https://www.openstreetmap.org/way/186605152
osm-node-9919985534,Sogno Mio,Hildesheim,Friesenstraße 5,31134,52.1501385022,9.9521171154,4.3,https://www.openstreetmap.org/node/9919985534,https://www.openstreetmap.org/way/201333137
osm-node-535435702,Lavi Cafe & Bar,Wolfenbüttel,Krambuden 15,38300,52.162896127050004,10.534034735499999,3.8,https://www.openstreetmap.org/node/535435702,https://www.openstreetmap.org/way/392725688
