key,name,city,street,zip,category,lat,lng,chat_radius_km,boundary_clearance_m,pin_shift_m,source_url,building_source_url,website
osm-node-299530291,Braunschweiger Stadtkind,Braunschweig,Bohlweg 3,38100,14,52.2625906,10.5255198,0.0021000000000000003,5.494176701849591,0.0,https://www.openstreetmap.org/node/299530291,https://www.openstreetmap.org/way/116132607,https://stadtkind-bs.de/
osm-node-696371744,An Nam,Wolfsburg,Willy-Brandt-Platz 8,38440,14,52.4280842,10.7896729,0.0028,6.111631657275394,0.0,https://www.openstreetmap.org/node/696371744,https://www.openstreetmap.org/way/25100877,https://an-nam.net
osm-node-293399026,Hemingway,Peine,Am Markt 21,31224,14,52.323084,10.2260709,0.0026,5.995250798840591,0.0,https://www.openstreetmap.org/node/293399026,https://www.openstreetmap.org/way/286337013,https://www.hemingway-peine.com/
osm-node-4756278498,Aristoteles,Hannover,Vahrenwalder Straße 24,30165,14,52.3875195,9.7345628,0.0021000000000000003,5.495862379955905,0.0,https://www.openstreetmap.org/node/4756278498,https://www.openstreetmap.org/way/709344720,http://www.aristoteles-hannover.de/
osm-node-264136726,Die Insel,Hildesheim,Dammstraße 30,31134,14,52.1501232,9.9408191,0.0033,6.688038143544672,0.0,https://www.openstreetmap.org/node/264136726,https://www.openstreetmap.org/way/204891293,https://www.die-insel-hildesheim.de/
osm-node-441937680,China Garden,Salzgitter,Berliner Straße 144,38226,14,52.1616483,10.3363808,0.0052,8.540877576214067,0.0,https://www.openstreetmap.org/node/441937680,https://www.openstreetmap.org/way/608885212,https://www.chinagarden-salzgitter.de/
osm-node-309906984,Hotel Forsthaus,Wolfenbüttel,Neuer Weg 5,38302,14,52.1686766,10.542079,0.0025,5.860967824114143,0.0,https://www.openstreetmap.org/node/309906984,https://www.openstreetmap.org/way/559182593,https://www.hotel-forsthaus.net/
osm-node-294226984,Allerkrug,Celle,Alte Dorfstraße 14,29227,14,52.6050801,10.1206469,0.004200000000000001,7.528428164164494,0.0,https://www.openstreetmap.org/node/294226984,https://www.openstreetmap.org/way/151923469,https://www.allerkrug.de/
osm-node-940676287,Lesewelt Oker e.V.,Goslar,Talstraße 3,38642,16,51.8996349,10.4822568,0.0039,7.293905216392239,0.0,https://www.openstreetmap.org/node/940676287,https://www.openstreetmap.org/way/246848129,https://leseweltoker.de/
osm-node-260472134,Stadtbücherei,Helmstedt,Stobenstraße 31,38350,16,52.2297221,11.0071608,0.006900000000000001,10.214602542557596,0.0,https://www.openstreetmap.org/node/260472134,https://www.openstreetmap.org/way/142252799,https://www.stadt-helmstedt.de/bildung/buecherei.html
osm-node-3618281370,L'Osteria,Gifhorn,Steinweg 5,38518,14,52.4876177,10.5461072,0.0022,5.5345583217825505,0.0,https://www.openstreetmap.org/node/3618281370,https://www.openstreetmap.org/way/152427620,https://losteria-gifhorn.de
osm-node-7152254653,Bergcafé,Königslutter am Elm,Vor dem Kaiserdom 10A,38154,5,52.2433711,10.8107661,0.0029,6.289501975260175,0.0,https://www.openstreetmap.org/node/7152254653,https://www.openstreetmap.org/way/142777556,https://www.awo-psychiatriezentrum.de/patienteninformationen/angehoerige-und-besucher/besucherinformationen/
osm-node-940735501,Kleifeldstuben,Lehrte,Im Kleifeld 15,31275,14,52.359966,9.9091187,0.0027,6.011857892838182,0.0,https://www.openstreetmap.org/node/940735501,https://www.openstreetmap.org/way/87800307,https://kleifeldstuben-tsg.eatbu.com/?lang=de
osm-node-3210112071,Das Kult,Braunschweig,Hamburger Straße 273c,38114,12,52.2788015,10.5233341,0.0128,16.12512919644796,0.0,https://www.openstreetmap.org/node/3210112071,https://www.openstreetmap.org/way/121071194,https://www.daskult-theater.de/
osm-node-4443425877,Hazienda El Toro Steakhouse,Wolfsburg,Neuhäuser Straße 17,38448,14,52.4316864,10.8480907,0.0021000000000000003,5.41604628179066,0.0,https://www.openstreetmap.org/node/4443425877,https://www.openstreetmap.org/way/44041060,http://www.hacienda-wolfsburg.de
osm-node-9672133811,Wok Garden,Peine,Alfred-Siems-Straße 10,31228,14,52.3379241,10.1915676,0.006,9.370965383912928,0.0,https://www.openstreetmap.org/node/9672133811,https://www.openstreetmap.org/way/47042168,https://wokgarden.de/china-restaurant-peine
osm-node-12393840445,Benatis,Hannover,Podbielskistraße 240,30655,14,52.4001073,9.785285,0.0023,5.671735896703258,0.0,https://www.openstreetmap.org/node/12393840445,https://www.openstreetmap.org/way/535585369,https://www.sc-schwarz-gold.de/vereinsheim.html
osm-node-3450010602,McCafé,Hildesheim,Bavenstedter Straße 48,31135,5,52.1645894,9.9657486,0.0027,6.025361408924908,0.0,https://www.openstreetmap.org/node/3450010602,https://www.openstreetmap.org/way/130037046,
osm-node-310662005,Osterlinder Landcafe,Salzgitter,Osterlinder Straße 31,38228,5,52.1276702,10.2514578,0.0026,5.928045807678395,0.0,https://www.openstreetmap.org/node/310662005,https://www.openstreetmap.org/way/95425047,https://www.osterlinder-landcafe.de/
osm-node-304561670,Hotel Waldhaus,Wolfenbüttel,Adersheimer Straße 75,38304,14,52.1554482,10.5082453,0.003,6.332460248276878,0.0,https://www.openstreetmap.org/node/304561670,https://www.openstreetmap.org/way/520377160,https://www.waldhaus-wolfenbuettel.de/
osm-node-2529688841,Museums-Café Baxmann,Celle,An der Stadtkirche 1,29221,5,52.6240728,10.080378,0.0022,5.505322579205289,0.0,https://www.openstreetmap.org/node/2529688841,https://www.openstreetmap.org/way/126270741,https://www.konditorei-baxmann.de/
osm-node-321656754,Restaurant „Zur Eiche“ by Syrtaki,Goslar,Grubenweg 1,38644,14,51.9573346,10.4344007,0.0039,7.241445731370481,0.0,https://www.openstreetmap.org/node/321656754,https://www.openstreetmap.org/way/630896365,http://syrtaki-hahndorf.de/
osm-node-2561084991,Pferdestall,Helmstedt,Am Ludgerihof 5,38350,5,52.2256407,11.0153173,0.0046,7.919210454237371,0.0,https://www.openstreetmap.org/node/2561084991,https://www.openstreetmap.org/way/29157654,
osm-node-8926232699,Pick Nick,Gifhorn,Steinweg 56-58,38518,5,52.4849445,10.5468524,0.0022,5.563026975695976,0.0,https://www.openstreetmap.org/node/8926232699,https://www.openstreetmap.org/way/151968283,https://www.modenhaus-becker.de/gastronomie-picknick/
osm-node-363778528,Langner,Königslutter am Elm,Braunschweiger Straße 22c,38154,5,52.255915,10.8025759,0.0073,10.680487190724538,0.0,https://www.openstreetmap.org/node/363778528,https://www.openstreetmap.org/way/252893578,https://www.facebook.com/profile.php?id=100063571360576
osm-node-2525786459,Rodino's Erlebnisgastronomie,Lehrte,Sternstraße 16,31275,14,52.3543443,10.1118041,0.002,5.3676103364829855,0.0,https://www.openstreetmap.org/node/2525786459,https://www.openstreetmap.org/way/183899323,
osm-node-348233689,Gastwerk,Braunschweig,Mittelweg 7,38106,14,52.2784715,10.5249662,0.0029,6.22538350696009,0.0,https://www.openstreetmap.org/node/348233689,https://www.openstreetmap.org/way/31300591,https://www.gastwerk.net/
osm-node-3652337825,Neue Welt,Wolfsburg,Herzogin-Clara-Straße 34,38442,14,52.4100425,10.7176746,0.0044,7.740297327542394,0.0,https://www.openstreetmap.org/node/3652337825,https://www.openstreetmap.org/way/25814118,https://wobneuewelt.de/
osm-node-299312713,Center Court,Peine,Sundernstraße 55,31224,14,52.3349421,10.221127,0.0096,12.982564507585035,0.0,https://www.openstreetmap.org/node/299312713,https://www.openstreetmap.org/way/538313146,
osm-node-5036180753,Bibliothek des Landgerichts Hannover,Hannover,Volgersweg 67,30175,16,52.3776021,9.7455234,0.0036,6.946700604767566,0.0,https://www.openstreetmap.org/node/5036180753,https://www.openstreetmap.org/way/576023069,https://www.landgericht-hannover.niedersachsen.de/gericht/bibliothek/die-bibliothek-58767.html
osm-node-859535878,Palmeras,Hildesheim,Marie-Wagenknecht-Straße 1,31134,14,52.1577286,9.9503907,0.0089,12.201555999223833,0.0,https://www.openstreetmap.org/node/859535878,https://www.openstreetmap.org/way/50033806,
