OSM-Key,Name,Stadt,Adresse,PLZ,Breitengrad,Laengengrad,Radius_m,Quelle,Status
osm-way-50807370,360°,Braunschweig,Katharinenstraße 1,38106,52.27464175,10.5265676151,6.7,https://www.openstreetmap.org/way/50807370,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-25653766,Altes Brauhaus zu Fallersleben,Wolfsburg,Am Alten Brauhaus 9,38442,52.4167066,10.71716185,4.9,https://www.openstreetmap.org/way/25653766,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-163257037,Bürger-Jäger-Heim,Peine,Beethovenstraße 6,31224,52.319720228,10.232852272799999,9.7,https://www.openstreetmap.org/way/163257037,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-191076903,Alte Hahnenburg,Hannover,Bemeroder Straße 63,30559,52.350501893499995,9.8057838686,2.9,https://www.openstreetmap.org/way/191076903,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-29216896,Hildesheimer Aussichtsturm,Hildesheim,Turmweg 1,31139,52.1045925009,9.8941952143,4.0,https://www.openstreetmap.org/way/29216896,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-201800555,Asia Star,Salzgitter,Konrad-Adenauer-Straße 31,38226,52.15301625,10.335256484999999,4.8,https://www.openstreetmap.org/way/201800555,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-395796835,Filmpalast,Wolfenbüttel,Lange Straße 5,38300,52.1614652425,10.5403881864,8.0,https://www.openstreetmap.org/way/395796835,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-244605287,Asialand,Celle,Neues Land 1,29227,52.59831495775,10.0598832443,2.0,https://www.openstreetmap.org/way/244605287,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-821115922,Asia Gourmet,Goslar,Bornhardtstraße 3-5,38644,51.9244974088,10.416667922999999,9.5,https://www.openstreetmap.org/way/821115922,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-163790286,Brunnentheater,Helmstedt,Brunnenweg 7,38350,52.2366144968,11.063382289249999,10.2,https://www.openstreetmap.org/way/163790286,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-212231682,Brasserie Paula's,Gifhorn,Steinweg 21-25,38518,52.486604967000005,10.5477754624,3.6,https://www.openstreetmap.org/way/212231682,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-115577388,Kärntner Stub'n,Königslutter am Elm,Fallersleber Straße 23,38154,52.260999651199995,10.8182633911,4.0,https://www.openstreetmap.org/way/115577388,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-183762990,Antikriegshaus Sievershausen,Lehrte,Kirchweg 4,31275,52.3742808975,10.129721997499999,3.8,https://www.openstreetmap.org/way/183762990,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-30712431,Astor Filmtheater,Braunschweig,Lange Straße 60,38100,52.26701376519999,10.5177313976,21.3,https://www.openstreetmap.org/way/30712431,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-407743729,Bao Bao,Wolfsburg,Franz-Marc-Straße 4,38448,52.4556824622,10.793413235100001,15.4,https://www.openstreetmap.org/way/407743729,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-332261116,Gasthaus Zum Sundern,Peine,Sundern 1,31228,52.3416427436,10.217123743999998,3.3,https://www.openstreetmap.org/way/332261116,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-100605700,Alte Ricklinger Bierquelle,Hannover,Beekestraße 71,30459,52.34244095,9.728787422499998,4.6,https://www.openstreetmap.org/way/100605700,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-206188029,LewensLust,Hildesheim,Galgenberg 2,31141,52.14166745039999,9.97627758955,8.2,https://www.openstreetmap.org/way/206188029,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-1527458965,"Café Engelke, Hildesheimer Stadtbäckerei",Salzgitter,Peiner Straße 246,38229,52.1719866372,10.3512979261,3.4,https://www.openstreetmap.org/way/1527458965,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-1255285909,Gaststätte Weiße Schanze,Wolfenbüttel,Ernst-Moritz-Arndt-Straße 128a,38304,52.15603415365,10.51237995545,2.4,https://www.openstreetmap.org/way/1255285909,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-67013017,Café Müller,Celle,Südwall 33,29221,52.6213898523,10.079952288,3.7,https://www.openstreetmap.org/way/67013017,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-187200279,BLACKCOMS's Erika,Goslar,Parkstraße 12,38644,51.8585820656,10.339510423899998,2.2,https://www.openstreetmap.org/way/187200279,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-29094777,Juleum,Helmstedt,Collegienplatz 1,38350,52.229307772,11.008566174999999,6.0,https://www.openstreetmap.org/way/29094777,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-263679367,Gasthaus Schaper,Gifhorn,Hamburger Straße 29,38518,52.509857787,10.54014645955,5.3,https://www.openstreetmap.org/way/263679367,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-253260860,Pinusa,Königslutter am Elm,Am Pastorenkamp 10,38154,52.2539454111,10.818558265,3.4,https://www.openstreetmap.org/way/253260860,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-229221777,Landgasthaus Scheuer's Hof,Lehrte,Lehrter Straße 4,31275,52.39519,10.059113299200002,9.1,https://www.openstreetmap.org/way/229221777,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-75616650,Bücherei,Braunschweig,Saarstraße 125,38116,52.274577915799995,10.483009553599999,2.1,https://www.openstreetmap.org/way/75616650,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-121987596,Hageberg-Krug,Wolfsburg,Grauhorststraße 12,38440,52.4233744,10.75349825,2.5,https://www.openstreetmap.org/way/121987596,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-166095046,Hotel und Gaststätte Löns Krug Geffers,Peine,Braunschweiger Straße 72,31226,52.3151870043,10.238889828,4.6,https://www.openstreetmap.org/way/166095046,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-553716690,Bavarium,Hannover,Windmühlenstraße 6,30159,52.371954672550004,9.73955630725,4.3,https://www.openstreetmap.org/way/553716690,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-37995592,TfN - Theater für Niedersachsen,Hildesheim,Theaterstraße 6,31141,52.1523124045,9.95801415795,13.1,https://www.openstreetmap.org/way/37995592,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-260346158,Café del Lago,Salzgitter,Westfalenstraße 61,38226,52.16539675,10.3074476,8.6,https://www.openstreetmap.org/way/260346158,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-393342491,Hotel Bayrischer Hof,Wolfenbüttel,Brauergildenstraße 5,38300,52.162658769500005,10.538549777250001,3.8,https://www.openstreetmap.org/way/393342491,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-94419050,Das Esszimmer,Celle,Hostmannstraße 37,29221,52.616583467750004,10.08960068915,3.0,https://www.openstreetmap.org/way/94419050,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-1191299476,Bäcker Wolf,Goslar,Im Fliegerhorst 5,38642,51.931511799999996,10.4282037234,5.2,https://www.openstreetmap.org/way/1191299476,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-30372073,King Döner Imbiss Pizzeria,Helmstedt,Gustav-Steinbrecher-Straße 1,38350,52.22700057189999,11.0036154191,2.7,https://www.openstreetmap.org/way/30372073,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-262746439,Mr. Lee,Gifhorn,Hamburger Straße 68,38518,52.5041672797,10.54057201555,7.3,https://www.openstreetmap.org/way/262746439,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-524758427,Gemeindekrug,Königslutter am Elm,Im Kirchwinkel 1,38154,52.297308134400005,10.7899624626,3.4,https://www.openstreetmap.org/way/524758427,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-146059492,Da Rocco,Braunschweig,Riddagshäuser Weg 3,38104,52.26315285,10.570173,3.2,https://www.openstreetmap.org/way/146059492,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-47006761,Metropol,Wolfsburg,Bahnhofstraße 33,38442,52.421435593300004,10.7162874195,3.5,https://www.openstreetmap.org/way/47006761,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-332140324,Restaurant Peking,Peine,Lessingstraße 5,31224,52.3264304196,10.233740106399999,4.8,https://www.openstreetmap.org/way/332140324,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-20169019,"Bibliothek der Hochschule Hannover, Zentralbibliothek",Hannover,Ricklinger Stadtweg 118,30459,52.35368941230001,9.72273625,15.9,https://www.openstreetmap.org/way/20169019,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-121503105,Zur Scharfen Ecke,Hildesheim,Itzumer Hauptstraße 1,31141,52.1171063754,9.98323067875,6.8,https://www.openstreetmap.org/way/121503105,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
osm-way-202036882,Flora-Klause,Salzgitter,Swindonstraße 98a,38226,52.1455447744,10.34051565345,7.3,https://www.openstreetmap.org/way/202036882,CIRCLE_INSIDE_OSM_BUILDING_NOT_GPS_GUARANTEE
